title,gnis_name,state,locatio
Araujo Dam,Shasta River,CA, 
Unnamed Blockage #3 (Diffusion Dam 4),,WA, 
Plymouth Crossing Dam,Wissahickon Creek,PA, 
Dead Lakes Dam,,FL,Wewahitchka, Florida
Welfare Dam,Paddy Run,PA, 
Frankford Dam,Pennypack Creek,PA, 
Freedom Park Dam,,NC, 
Byrnes Mill Dam (Dam No. 1),White Clay Creek,DE, 
Unnamed Dam,Clarion River,PA, 
Poplar Dam,Poplar River,WI, 
Twining Valley Golf Course Dam,Pine Run,PA, 
Glines Canyon Dam,Elwha River,WA,Olympic National Park, Washington
Puddin Head Dam,,FL, 
Port Arthur Dam,Flambeau River,WI, 
Lake Success Dam,,NJ, 
Dutiel Pond Dam,,OH, 
Stronach Dam,Pine River,MI,Manistee, Michigan
Picric Dam,Driftwood Branch Sinnemahoning Creek,PA, 
Sandy River Delta Dam,,OR, 
Stone Gate Park #1 Dam,Waubonsie Creek,IL, 
Reading Museum Dam #1,Wyomissing Creek,PA, 
Wild Lands Conservancy Dam,Little Lehigh Creek,PA, 
Coal Creek Dam #4,Coal Creek,PA, 
Silver Springs Dam #1,Mill Creek,WI, 
Lower Eddy Pond Dam,Mussey Brook,VT, 
No Name Dam #45,,SD, 
Wind River Dam,Wind River,WA, 
Creek Bend Dam #1,,IL, 
Maple Hollow Reservoir Dam (Ducansville Reservoir),Gillans Run,PA, 
Felix Dam,Schuylkill River,PA, 
Wetmore Run Dam,Wetmore Run,PA, 
Quasqueton Dam,Wapsipinicon River,IA, 
Pinney Hollow Brook Dam,Pinney Hollow Brook,VT, 
Reedsville Milling Company Dam,Tea Creek,PA,Reedsville, Pennsylvania
Wacousta Dam,Looking Glass River,MI,Grand Ledge, Michigan
Hostler Creek Dam,Hostler Creek,CA, 
Brown's Mill Dam,East Fork Stones River,TN, 
Union Village Dam,Branch River,NH, 
Occidental Chem Pond Dam D,,TN, 
Unnamed Dam,Doe Run,PA, 
M Seeman Dam,,NY, 
Wolf Lake Dam,Conococheague Creek,PA, 
Eel River Headwaters Restoration 7,,MA, 
Butternut Pond Dam,Butternut Brook,NH, 
Glenwood Dam,Mill Creek,PA, 
Crantock Mill Dam,Middle Creek,NC, 
Derry Run Basin C Dam,,PA, 
